couldn't open "transcript": permission denied
# 
# Top level modules:
# 	--none--
# End time: 19:59:39 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:39 on May 29,2024
# vlog -reportprogress 300 -lint uvm_rd_agent.sv 
# ** Note: (vlog-2286) uvm_rd_agent.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package uvm_rd_agent_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:40 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:40 on May 29,2024
# vlog -reportprogress 300 -lint uvm_scoreboard.sv 
# ** Note: (vlog-2286) uvm_scoreboard.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling interface uvm_fifo_intf
# ** Warning: ** while parsing file included at uvm_scoreboard.sv(4)
# ** while parsing file included at uvm_rd_agent.sv(3)
# ** while parsing file included at uvm_rd_monitor.sv(3)
# ** while parsing file included at uvm_rd_driver.sv(3)
# ** at uvm_fifo_interface.sv(1): (vlog-2275) Existing interface 'uvm_fifo_intf' at line 1 will be overwritten.
# -- Compiling package uvm_scoreboard_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:41 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:41 on May 29,2024
# vlog -reportprogress 300 -lint uvm_environment.sv 
# ** Note: (vlog-2286) uvm_environment.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling interface uvm_fifo_intf
# ** Warning: ** while parsing file included at uvm_environment.sv(3)
# ** while parsing file included at uvm_scoreboard.sv(4)
# ** while parsing file included at uvm_rd_agent.sv(3)
# ** while parsing file included at uvm_rd_monitor.sv(3)
# ** while parsing file included at uvm_rd_driver.sv(3)
# ** at uvm_fifo_interface.sv(1): (vlog-2275) Existing interface 'uvm_fifo_intf' at line 1 will be overwritten.
# -- Compiling package uvm_environment_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:42 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:42 on May 29,2024
# vlog -reportprogress 300 -lint uvm_test.sv 
# ** Note: (vlog-2286) uvm_test.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling interface uvm_fifo_intf
# ** Warning: ** while parsing file included at uvm_test.sv(3)
# ** while parsing file included at uvm_environment.sv(3)
# ** while parsing file included at uvm_scoreboard.sv(4)
# ** while parsing file included at uvm_rd_agent.sv(3)
# ** while parsing file included at uvm_rd_monitor.sv(3)
# ** while parsing file included at uvm_rd_driver.sv(3)
# ** at uvm_fifo_interface.sv(1): (vlog-2275) Existing interface 'uvm_fifo_intf' at line 1 will be overwritten.
# -- Compiling package uvm_test_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# 
# Top level modules:
# 	--none--
# End time: 19:59:43 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 19:59:43 on May 29,2024
# vlog -reportprogress 300 -lint uvm_test_top.sv 
# ** Note: (vlog-2286) uvm_test_top.sv(2): Using implicit +incdir+C:/questasim64_2023.3/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling interface uvm_fifo_intf
# ** Warning: ** while parsing file included at uvm_test_top.sv(15)
# ** while parsing file included at uvm_test.sv(3)
# ** while parsing file included at uvm_environment.sv(3)
# ** while parsing file included at uvm_scoreboard.sv(4)
# ** while parsing file included at uvm_rd_agent.sv(3)
# ** while parsing file included at uvm_rd_monitor.sv(3)
# ** while parsing file included at uvm_rd_driver.sv(3)
# ** at uvm_fifo_interface.sv(1): (vlog-2275) Existing interface 'uvm_fifo_intf' at line 1 will be overwritten.
# -- Compiling package uvm_test_top_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling interface uvm_fifo_intf
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 19:59:44 on May 29,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
# vsim work.top 
# Start time: 19:59:44 on May 29,2024
# ** Note: (vsim-3812) Design is being optimized...
# ** Warning: design_a.sv(141): (vopt-2623) Undefined variable: rEmpty_val.
# ** Warning: design_a.sv(182): (vopt-2623) Undefined variable: wFull_val.
# ** Note: (vsim-12126) Error and warning message counts have been restored: Errors=0, Warnings=2.
# Loading sv_std.std
# Loading mtiUvm.uvm_pkg(fast)
# Loading work.uvm_test_top_sv_unit(fast)
# Loading mtiUvm.questa_uvm_pkg(fast)
# Loading work.top(fast)
# Loading work.uvm_fifo_intf(fast)
# Loading C:/questasim64_2023.3/uvm-1.1d\win64\uvm_dpi.dll
# End time: 19:59:59 on May 29,2024, Elapsed time: 0:00:15
# Errors: 0, Warnings: 2
# vsim -voptargs="+acc" work.top 
# Start time: 19:59:59 on May 29,2024
# ** Note: (vsim-3812) Design is being optimized...
# ** Warning: (vopt-10587) Some optimizations are turned off because the +acc switch is in effect. This will cause your simulation to run slowly. Please use -access/-debug to maintain needed visibility.
# ** Warning: design_a.sv(182): (vopt-2623) Undefined variable: wFull_val.
# ** Warning: design_a.sv(141): (vopt-2623) Undefined variable: rEmpty_val.
# ** Note: (vsim-12126) Error and warning message counts have been restored: Errors=0, Warnings=3.
# Loading sv_std.std
# Loading mtiUvm.uvm_pkg(fast)
# Loading work.uvm_test_top_sv_unit(fast)
# Loading mtiUvm.questa_uvm_pkg(fast)
# Loading work.top(fast)
# Loading work.uvm_fifo_intf(fast__2)
# Loading work.FIFO(fast)
# Loading work.sync_r2w(fast)
# Loading work.sync_w2r(fast)
# Loading work.fifomem(fast)
# Loading work.rptr_empty(fast)
# Loading work.wptr_full(fast)
# Loading work.uvm_fifo_intf(fast)
# Loading C:/questasim64_2023.3/uvm-1.1d\win64\uvm_dpi.dll
# ----------------------------------------------------------------
# UVM-1.1d
# (C) 2007-2013 Mentor Graphics Corporation
# (C) 2007-2013 Cadence Design Systems, Inc.
# (C) 2006-2013 Synopsys, Inc.
# (C) 2011-2013 Cypress Semiconductor Corp.
# ----------------------------------------------------------------
# 
#   ***********       IMPORTANT RELEASE NOTES         ************
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_NO_DEPRECATED undefined.
#   See http://www.eda.org/svdb/view.php?id=3313 for more details.
# 
#   You are using a version of the UVM library that has been compiled
#   with `UVM_OBJECT_MUST_HAVE_CONSTRUCTOR undefined.
#   See http://www.eda.org/svdb/view.php?id=3770 for more details.
# 
#       (Specify +UVM_NO_RELNOTES to turn off this notice)
# 
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(277) @ 0: reporter [Questa UVM] QUESTA_UVM-1.2.3
# UVM_INFO verilog_src/questa_uvm_pkg-1.2/src/questa_uvm_pkg.sv(278) @ 0: reporter [Questa UVM]  questa_uvm::init(+struct)
# UVM_INFO @ 0: reporter [RNTST] Running test fifo_test...
# UVM_INFO @ 0: reporter [UVMTOP] UVM testbench topology:
# --------------------------------------------------------------------------
# Name                         Type                              Size  Value
# --------------------------------------------------------------------------
# uvm_test_top                 fifo_test                         -     @471 
#   env                        fifo_env                          -     @478 
#     rd_agnt                  read_agent                        -     @492 
#       rd_drv                 read_driver                       -     @507 
#         rsp_port             uvm_analysis_port                 -     @522 
#         seq_item_port        uvm_seq_item_pull_port            -     @514 
#       rd_mon                 read_monitor                      -     @639 
#         rd_monitor_port      uvm_analysis_port                 -     @647 
#       rd_seqr                read_sequencer                    -     @530 
#         rsp_export           uvm_analysis_export               -     @537 
#         seq_item_export      uvm_seq_item_pull_imp             -     @631 
#         arbitration_queue    array                             0     -    
#         lock_queue           array                             0     -    
#         num_last_reqs        integral                          32    'd1  
#         num_last_rsps        integral                          32    'd1  
#     scb                      fifo_scoreboard                   -     @499 
#       scoreboard_read_port   uvm_analysis_imp_rd_monitor_port  -     @669 
#       scoreboard_write_port  uvm_analysis_imp_monitor_port     -     @661 
#     wr_agnt                  write_agent                       -     @485 
#       wr_drv                 write_driver                      -     @678 
#         rsp_port             uvm_analysis_port                 -     @693 
#         seq_item_port        uvm_seq_item_pull_port            -     @685 
#       wr_mon                 write_monitor                     -     @810 
#         monitor_port         uvm_analysis_port                 -     @818 
#       wr_seqr                write_sequencer                   -     @701 
#         rsp_export           uvm_analysis_export               -     @708 
#         seq_item_export      uvm_seq_item_pull_imp             -     @802 
#         arbitration_queue    array                             0     -    
#         lock_queue           array                             0     -    
#         num_last_reqs        integral                          32    'd1  
#         num_last_rsps        integral                          32    'd1  
# --------------------------------------------------------------------------
# 
# UVM_INFO uvm_scoreboard.sv(69) @ 770: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 7 --- DUT Read Data: 7
# UVM_INFO uvm_scoreboard.sv(69) @ 980: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 16 --- DUT Read Data: 16
# UVM_INFO uvm_scoreboard.sv(69) @ 1050: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 17 --- DUT Read Data: 17
# UVM_INFO uvm_scoreboard.sv(69) @ 1120: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 28 --- DUT Read Data: 28
# UVM_INFO uvm_scoreboard.sv(69) @ 1190: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 58 --- DUT Read Data: 58
# UVM_INFO uvm_scoreboard.sv(69) @ 1260: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 4c --- DUT Read Data: 4c
# UVM_INFO uvm_scoreboard.sv(69) @ 1330: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 31 --- DUT Read Data: 31
# UVM_INFO uvm_scoreboard.sv(69) @ 1400: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: a --- DUT Read Data: a
# UVM_INFO uvm_scoreboard.sv(69) @ 1470: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 48 --- DUT Read Data: 48
# UVM_INFO uvm_scoreboard.sv(69) @ 1540: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 5b --- DUT Read Data: 5b
# UVM_INFO uvm_scoreboard.sv(69) @ 1610: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 32 --- DUT Read Data: 32
# UVM_INFO uvm_scoreboard.sv(69) @ 1820: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 4a --- DUT Read Data: 4a
# UVM_INFO uvm_scoreboard.sv(69) @ 1960: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2030: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2100: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2170: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2240: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2310: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2380: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2450: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2520: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2590: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2660: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2730: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 2870: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3010: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3150: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3220: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3290: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3360: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3430: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3500: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3570: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3780: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3850: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3920: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 3990: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4060: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4270: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4340: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4410: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4480: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4550: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4620: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4690: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 27 --- DUT Read Data: 27
# UVM_INFO uvm_scoreboard.sv(69) @ 4760: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 64 --- DUT Read Data: 64
# UVM_INFO uvm_scoreboard.sv(69) @ 4900: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 1c --- DUT Read Data: 1c
# UVM_INFO uvm_scoreboard.sv(69) @ 4970: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 60 --- DUT Read Data: 60
# UVM_INFO uvm_scoreboard.sv(69) @ 5250: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 3 --- DUT Read Data: 3
# UVM_INFO uvm_scoreboard.sv(69) @ 5320: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 3b --- DUT Read Data: 3b
# UVM_INFO uvm_scoreboard.sv(69) @ 5390: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 13 --- DUT Read Data: 13
# UVM_INFO uvm_scoreboard.sv(69) @ 5460: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: a --- DUT Read Data: a
# UVM_INFO uvm_scoreboard.sv(69) @ 5530: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 30 --- DUT Read Data: 30
# UVM_INFO uvm_scoreboard.sv(69) @ 5600: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 4 --- DUT Read Data: 4
# UVM_INFO uvm_scoreboard.sv(69) @ 5670: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 22 --- DUT Read Data: 22
# UVM_INFO uvm_scoreboard.sv(69) @ 5880: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: 2 --- DUT Read Data: 2
# UVM_INFO uvm_scoreboard.sv(69) @ 5950: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6160: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6230: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6370: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6440: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6510: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6580: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
# UVM_INFO uvm_scoreboard.sv(69) @ 6650: uvm_test_top.env.scb [SCOREBOARD] MATCH Expected Data: e --- DUT Read Data: e
